/location/country/form of government	form of government
/award/award nominated work/award nominations./award/award nomination/award nominee	award nominee
/film/film distributor/films distributed./film/film film distributor relationship/film	film
/location/statistical region/rent50 2./measurement unit/dated money value/currency	currency
/film/film/estimated budget./measurement unit/dated money value/currency	currency
/location/administrative division/second level division of	second level division of
/government/legislative session/members./government/government position held/district represented	district represented
/sports/sports team/roster./american football/football historical roster position/position s	position s
/government/government office category/officeholders./government/government position held/jurisdiction of office	jurisdiction of office
/award/award nominee/award nominations./award/award nomination/nominated for	nominated for
/people/deceased person/place of death	place of death
/music/group member/instruments played	instruments played
/film/production company/films	films
/sports/pro athlete/teams./sports/sports team roster/team	team
/base/schemastaging/athlete extra/salary./base/schemastaging/athlete salary/team	team
/music/artist/track contributions./music/track contribution/role	role
/organization/organization/acquired by./business/acquisition/acquiring company	acquiring company
/music/instrument/instrumentalists	instrumentalists
/military/military combatant/military conflicts./military/military combatant group/conflict	conflict
/people/person/education./education/education/institution	institution
/award/award category/winners./award/award honor/honored for	honored for
/people/person/gender	gender
/business/job title/people with this title./business/employment tenure/company	company
/base/popstra/celebrity/friendship./base/popstra/friendship/participant	participant
/fictional universe/fictional character/occupation	occupation
/education/field of study/students majoring./education/education/institution	institution
/business/business operation/industry	industry
/award/award category/winners./award/award honor/award winner	award winner
/award/award winner/awards won./award/award honor/ceremony	ceremony
/location/hud foreclosure area/hhuniv./measurement unit/dated integer/source	source
/location/us county/hud county place	hud county place
/location/statistical region/gni in ppp dollars./measurement unit/dated money value/currency	currency
/people/person/nationality	nationality
/sports/sports team/roster./baseball/baseball roster position/position	position
/music/performance role/regular performances./music/group membership/member	member
/base/nobelprizes/nobel prize winner/nobel honor./base/nobelprizes/nobel honor/subject area	subject area
/people/cause of death/people	people
/tv/tv program/languages	languages
/user/alexander/philosophy/subject/philosophers	philosophers
/common/annotation category/annotations./common/webpage/topic	topic
/music/genre/parent genre	parent genre
/base/popstra/celebrity/breakup./base/popstra/breakup/participant	participant
/influence/influence node/influenced	influenced
/location/country/capital	capital
/film/special film performance type/film performance type./film/performance/film	film
/olympics/olympic participating country/athletes./olympics/olympic athlete affiliation/sport	sport
/film/writer/film	film
/soccer/football team/current roster./sports/sports team roster/player	player
/film/film/starring./film/performance/character	character
/location/hud county place/place	place
/location/country/administrative divisions	administrative divisions
/organization/organization/leadership./organization/leadership/role	role
/music/performance role/guest performances./music/recording contribution/performance role	performance role
/location/location/adjoin s./location/adjoining relationship/adjoins	adjoins
/film/film subject/films	films
/base/schemastaging/person extra/net worth./measurement unit/dated money value/currency	currency
/government/form of government/countries	countries
/education/educational institution/colors	colors
/base/aareas/schema/administrative area/administrative parent	administrative parent
/government/political appointer/appointees./government/government position held/basic title	basic title
/organization/organization/sectors	sectors
/organization/role/leaders./organization/leadership/organization	organization
/location/location/people born here	people born here
/medicine/risk factor/diseases	diseases
/broadcast/tv station owner/tv stations	tv stations
/government/legislative session/members./government/government position held/legislative sessions	legislative sessions
/olympics/olympic games/sports	sports
/people/person/places lived./people/place lived/location	location
/government/legislative session/members./government/government position held/governmental body	governmental body
/location/hud foreclosure area/estimated number foreclosures./measurement unit/dated integer/source	source
/award/award category/disciplines or subjects	disciplines or subjects
/sports/professional sports team/draft picks./sports/sports league draft pick/school	school
/olympics/olympic participating country/medals won./olympics/olympic medal honor/olympics	olympics
/language/human language/countries spoken in	countries spoken in
/symbols/namesake/named after	named after
/organization/organization/phone number./common/phone number/category	category
/award/award winner/awards won./award/award honor/honored for	honored for
/people/ethnicity/people	people
/fictional universe/character occupation/characters with this occupation	characters with this occupation
/architecture/museum/type of museum	type of museum
/olympics/olympic participating country/athletes./olympics/olympic athlete affiliation/olympics	olympics
/olympics/olympic participating country/medals won./olympics/olympic medal honor/medal	medal
/film/film/other crew./film/film crew gig/crewmember	crewmember
/olympics/olympic games/athletes./olympics/olympic athlete affiliation/sport	sport
/music/performance role/track performances./music/track contribution/role	role
/education/school category/schools of this kind	schools of this kind
/sports/sports team/roster./sports/sports team roster/position	position
/metropolitan transit/transit service type/transit lines	transit lines
/music/record label/artist	artist
/location/statistical region/rent50 4./measurement unit/dated money value/currency	currency
/base/popstra/celebrity/dated./base/popstra/dated/participant	participant
/base/locations/continents/countries within	countries within
/business/employer/employees./business/employment tenure/title	title
/sports/sports league draft/picks./sports/sports league draft pick/school	school
/music/musical group/member./music/group membership/role	role
/sports/sports team/sport	sport
/film/producer/films executive produced	films executive produced
/education/educational institution campus/educational institution	educational institution
/sports/sports team/league./sports/sports league participation/league	league
/american football/football team/current roster./american football/football roster position/position	position
/location/location/events	events
/people/person/religion	religion
/organization/organization/headquarters./location/mailing address/citytown	citytown
/film/music contributor/film	film
/music/performance role/track performances./music/track contribution/contributor	contributor
/film/film/produced by	produced by
/religion/religious practice/practice of	practice of
/architecture/museum/address./location/mailing address/citytown	citytown
/film/film location/featured in films	featured in films
/organization/organization/founders	founders
/tv/special tv performance type/starring performances./tv/regular tv appearance/actor	actor
/astronomy/celestial object/category	category
/award/award winner/awards won./award/award honor/award	award
/music/artist/label	label
/medicine/notable person with medical condition/condition	condition
/film/producer/film	film
/people/person/spouse s./people/marriage/type of union	type of union
/film/film/production companies	production companies
/location/country/second level divisions	second level divisions
/sports/sports team/roster./soccer/football roster position/position	position
/film/film/directed by	directed by
/sports/pro athlete/teams./soccer/football roster position/team	team
/food/ingredient/compatible with dietary restrictions	compatible with dietary restrictions
/language/human language/main country	main country
/sports/sports team/location	location
/location/statistical region/rent50 1./measurement unit/dated money value/currency	currency
/base/culturalevent/event/entity involved	entity involved
/film/film festival event/films	films
/base/newsevents/news reported event/news report s./base/newsevents/news report/news reporting organisation	news reporting organisation
/education/educational degree/people with this degree./education/education/institution	institution
/film/film/distributors./film/film film distributor relationship/film distribution medium	film distribution medium
/tv/tv program/tv producer./tv/tv producer term/producer type	producer type
/film/film/distributors./film/film film distributor relationship/distributor	distributor
/sports/sport/teams	teams
/music/performance role/regular performances./music/group membership/group	group
/organization/organization/phone number./common/phone number/service location	service location
/sports/sports position/players./ice hockey/hockey roster position/team	team
/government/politician/government positions held./government/government position held/legislative sessions	legislative sessions
/sports/sports team location/teams	teams
/sports/sports team/colors	colors
/people/deceased person/cause of death	cause of death
/sports/sports position/players./basketball/basketball roster position/team	team
/base/popstra/celebrity/shops at./base/popstra/shopping choice/company	company
/sports/professional sports team/draft picks./sports/sports league draft pick/draft	draft
/award/award nominated work/award nominations./award/award nomination/nominated for	nominated for
/baseball/baseball team/team stats./baseball/baseball team stats/season	season
/user/alexander/philosophy/philosopher/interests	interests
/time/time zone/locations in this time zone	locations in this time zone
/people/person/languages	languages
/american football/football player/position s	position s
/education/educational institution/students graduates./education/education/major field of study	major field of study
/film/director/film	film
/american football/football team/historical roster./sports/sports team roster/position	position
/award/award ceremony/awards presented./award/award honor/honored for	honored for
/olympics/olympic sport/athletes./olympics/olympic athlete affiliation/olympics	olympics
/film/film/costume design by	costume design by
/film/film format/film format	film format
/film/film/featured film locations	featured film locations
/tv/tv program/genre	genre
/organization/endowed organization/endowment./measurement unit/dated money value/currency	currency
/film/film/written by	written by
/baseball/baseball player/batting stats./baseball/batting statistics/team	team
/tv/tv producer/programs produced./tv/tv producer term/producer type	producer type
/government/politician/government positions held./government/government position held/office position or title	office position or title
/base/twinnedtowns/twinned town/twinned with./base/twinnedtowns/town twinning/twinned towns	twinned towns
/location/hud county place/county	county
/sports/pro athlete/teams./sports/sports team roster/position	position
/education/educational degree/people with this degree./education/education/major field of study	major field of study
/base/petbreeds/dog breed/cities where this dog is popular./base/petbreeds/dog city relationship/cities	cities
/film/film story contributor/film story credits	film story credits
/base/schemastaging/organization extra/phone number./base/schemastaging/phone sandbox/contact category	contact category
/base/saturdaynightlive/snl cast member/seasons./base/saturdaynightlive/snl season tenure/cast members	cast members
/film/film/film format	film format
/tv/tv actor/starring roles./tv/regular tv appearance/series	series
/film/film/sequel	sequel
/film/film/music	music
/sports/sports team/roster./american football/football roster position/position	position
/olympics/olympic medal/medal winners./olympics/olympic medal honor/country	country
/user/tsegaran/random/taxonomy subject/entry./user/tsegaran/random/taxonomy entry/taxonomy	taxonomy
/aviation/airport/airlines./aviation/airline airport presence/cities served	cities served
/celebrities/celebrity/celebrity friends./celebrities/friendship/friend	friend
/location/hud foreclosure area/estimated number of mortgages./measurement unit/dated integer/source	source
/base/popstra/religion/membership./base/popstra/religion choice/member	member
/base/x2010fifaworldcupsouthafrica/world cup squad/current world cup squad./base/x2010fifaworldcupsouthafrica/current world cup squad/current club	current club
/base/popstra/location/vacationers./base/popstra/vacation choice/vacationer	vacationer
/medicine/medical specialty/diseases treated	diseases treated
/sports/sports position/players./sports/sports team roster/player	player
/law/invention/inventor	inventor
/location/hud foreclosure area/total residential addresses./measurement unit/dated integer/source	source
/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant	participant
/location/administrative division/capital./location/administrative division capital relationship/capital	capital
/protected sites/natural or cultural site designation/sites./protected sites/natural or cultural site listing/listed site	listed site
/baseball/baseball team/historical roster./baseball/baseball historical roster position/player	player
/soccer/football player/current team./soccer/football roster position/team	team
/base/popstra/celebrity/vacations in./base/popstra/vacation choice/location	location
/olympics/olympic games/medals awarded./olympics/olympic medal honor/country	country
/people/profession/specializations	specializations
/computer/software/software genre	software genre
/education/educational institution/school type	school type
/base/popstra/organization/supporter./base/popstra/support/supporter	supporter
/award/ranked list/ranked list items./award/ranking/item	item
/film/film crewmember/films crewed./film/film crew gig/film	film
/sports/sport/pro athletes./sports/pro sports played/athlete	athlete
/soccer/football team/current roster./soccer/football roster position/player	player
/award/hall of fame/inductees./award/hall of fame induction/inductee	inductee
/base/biblioness/bibs location/state	state
/education/university/local tuition./measurement unit/dated money value/currency	currency
/business/business operation/revenue./measurement unit/dated money value/currency	currency
/sports/sports position/players./american football/football roster position/team	team
/sports/sports position/players./sports/sports team roster/team	team
/business/business operation/retained earnings./measurement unit/dated money value/currency	currency
/tv/tv producer type/tv producers of this type./tv/tv producer term/producer	producer
/film/film/film set decoration by	film set decoration by
/military/military conflict/combatants./military/military combatant group/combatants	combatants
/sports/sports league/teams./sports/sports league participation/team	team
/base/biblioness/bibs location/country	country
/film/editor/film	film
/music/group member/membership./music/group membership/role	role
/olympics/olympic games/athletes./olympics/olympic athlete affiliation/country	country
/organization/organization/parent./organization/organization relationship/parent	parent
/american football/football team/historical roster./american football/football historical roster position/position s	position s
/people/person/employment history./business/employment tenure/title	title
/base/popstra/product/sold to./base/popstra/product choice/consumer	consumer
/tv/tv program creator/programs created	programs created
/tv/tv program/tv producer./tv/tv producer term/producer	producer
/business/employer/employees./business/employment tenure/person	person
/location/administrative division/country	country
/film/film/executive produced by	executive produced by
/location/statistical region/rent50 3./measurement unit/dated money value/currency	currency
/food/food/nutrients./food/nutrition fact/nutrient	nutrient
/business/industry/companies	companies
/music/group member/membership./music/group membership/group	group
/location/statistical region/gdp nominal per capita./measurement unit/dated money value/currency	currency
/education/field of study/students majoring./education/education/degree	degree
/film/special film performance type/film performance type./film/performance/actor	actor
/tv/tv personality/tv regular appearances./tv/tv regular personal appearance/appearance type	appearance type
/education/fraternity sorority/colleges and universities	colleges and universities
/education/field of study/students majoring./education/education/student	student
/award/award winning work/awards won./award/award honor/honored for	honored for
/baseball/baseball team/current roster./baseball/baseball roster position/position	position
/people/person/children	children
/sports/sports team/roster./basketball/basketball roster position/position	position
/organization/organization/headquarters./location/mailing address/state province region	state province region
/base/aareas/schema/administrative area/capital	capital
/location/hud foreclosure area/total 90 day vacant residential addresses./measurement unit/dated integer/source	source
/base/aareas/schema/administrative area/administrative children	administrative children
/tv/tv producer/programs produced./tv/tv producer term/program	program
/location/country/first level divisions	first level divisions
/business/business operation/liabilities./measurement unit/dated money value/currency	currency
/film/personal film appearance type/film appearances./film/personal film appearance/person	person
/sports/sports league draft/picks./sports/sports league draft pick/team	team
/travel/travel destination/tourist attractions	tourist attractions
/base/americancomedy/comedy group/members./base/americancomedy/comedy group membership/member	member
/education/educational institution/campuses	campuses
/film/film/distributors./film/film film distributor relationship/region	region
/travel/travel destination/climate./travel/travel destination monthly climate/month	month
/business/business operation/cash./measurement unit/dated money value/currency	currency
/government/governmental body/sessions	sessions
/location/statistical region/rent50 0./measurement unit/dated money value/currency	currency
/royalty/order of chivalry/recipients./royalty/chivalric order membership/recipient	recipient
/military/military commander/military commands./military/military command/military combatant	military combatant
/film/film/subjects	subjects
/medicine/disease/notable people with this condition	notable people with this condition
/music/musical group/member./music/group membership/member	member
/education/educational institution/students graduates./education/education/specialization	specialization
/base/schemastaging/organization extra/phone number./base/schemastaging/phone sandbox/service location	service location
/tv/tv producer type/tv producers of this type./tv/tv producer term/program	program
/government/government office category/officeholders./government/government position held/office holder	office holder
/sports/sports position/players./baseball/baseball roster position/team	team
/people/ethnicity/geographic distribution	geographic distribution
/film/actor/film./film/performance/special performance type	special performance type
/military/military combatant/military conflicts./military/military combatant group/combatants	combatants
/film/film/personal appearances./film/personal film appearance/person	person
/base/schemastaging/organization extra/phone number./base/schemastaging/phone open times/time zone	time zone
/location/location/time zones	time zones
/basketball/basketball team/roster./sports/sports team roster/position	position
/film/film/story by	story by
/tv/tv program/recurring writers./tv/tv program writer relationship/writer	writer
/base/petbreeds/city with dogs/top breeds./base/petbreeds/dog city relationship/dog breed	dog breed
/transportation/road/major cities	major cities
/basketball/basketball position/player roster position./basketball/basketball roster position/team	team
/education/educational degree/people with this degree./education/education/specialization	specialization
/base/schemastaging/person extra/net worth./measurement unit/dated money value/source	source
/olympics/olympic games/participating countries	participating countries
/base/marchmadness/ncaa basketball team/ncaa tournament seeds./base/marchmadness/ncaa tournament seed/tournament	tournament
/film/film distribution medium/films distributed in this medium./film/film film distributor relationship/film	film
/education/educational institution/sexes accepted./education/gender enrollment/sex	sex
/government/governmental body/members./government/government position held/office holder	office holder
/tv/tv network/programs./tv/tv network duration/program	program
/base/contractbridge/bridge player/first place finish./base/contractbridge/bridge tournament standings/second place	second place
/user/tsegaran/random/subject taxonomy/entry./user/tsegaran/random/taxonomy entry/subject	subject
/computer/operating system/parent os	parent os
/sports/sports team/roster./sports/sports team roster/player	player
/basketball/basketball team/roster./basketball/basketball roster position/position	position
/military/military combatant/military commanders./military/military command/military commander	military commander
/sports/pro athlete/teams./basketball/basketball historical roster position/team	team
/people/person/employment history./business/employment tenure/company	company
/music/artist/origin	origin
/people/marriage union type/unions of this type./people/marriage/location of ceremony	location of ceremony
/royalty/royal line/kingdom s ruled	kingdom s ruled
/medicine/disease/causes	causes
/american football/football player/former teams./sports/sports team roster/team	team
/medicine/drug ingredient/more general ingredient	more general ingredient
/tv/tv writer/tv programs./tv/tv program writer relationship/tv program	tv program
/time/event/locations	locations
/base/x2010fifaworldcupsouthafrica/world cup squad/current world cup squad./base/x2010fifaworldcupsouthafrica/current world cup squad/players	players
/celebrities/celebrity/sexual relationships./celebrities/romantic relationship/celebrity	celebrity
/tv/tv program/spun off from	spun off from
/base/popstra/celebrity/lived with./base/popstra/lived with/participant	participant
/government/political party/politicians in this party./government/political party tenure/politician	politician
/education/university/domestic tuition./measurement unit/dated money value/currency	currency
/government/legislative session/members./government/government position held/office holder	office holder
/government/politician/party./government/political party tenure/party	party
/people/cause of death/includes causes of death	includes causes of death
/government/politician/government positions held./government/government position held/appointed by	appointed by
/award/hall of fame/discipline	discipline
/organization/non profit organization/registered with./organization/non profit registration/registering agency	registering agency
/award/award category/presenting organization	presenting organization
/base/fight/crime type/people convicted of this crime./base/crime/criminal conviction/guilty of	guilty of
/base/saints/saint/venerated in	venerated in
/medicine/icd 9 cm classification/parent classification	parent classification
/film/film art director/films art directed	films art directed
/education/educational institution/subsidiary or constituent schools	subsidiary or constituent schools
/film/actor/dubbing performances./film/dubbing performance/film	film
/soccer/football league/teams./soccer/football league participation/team	team
/film/film character/portrayed in films./film/performance/film	film
/location/country/languages spoken	languages spoken
/education/educational institution/students graduates./education/education/minor	minor
/user/ktrueman/default domain/international organization/member states	member states
/tv/tv program/regular personal appearances./tv/tv regular personal appearance/person	person
/award/award winning work/awards won./award/award honor/ceremony	ceremony
/american football/football team/current roster./sports/sports team roster/position	position
/soccer/football player/current team./sports/sports team roster/team	team
/olympics/olympic games/medals awarded./olympics/olympic medal honor/medal	medal
/organization/organization/legal structure	legal structure
/base/schemastaging/athlete extra/salary./base/schemastaging/athlete salary/currency	currency
/location/symbol of administrative division/official symbol of./location/location symbol relationship/administrative division	administrative division
/award/ranked item/appears in ranked lists./award/ranking/list	list
/people/person/education./education/education/major field of study	major field of study
/film/film set designer/film sets designed	film sets designed
/government/political appointer/appointees./government/government position held/jurisdiction of office	jurisdiction of office
/user/jg/default domain/olympic games/sports	sports
/education/educational degree/people with this degree./education/education/minor	minor
/sports/sports team/roster./soccer/football roster position/player	player
/people/person/sibling s./people/sibling relationship/sibling	sibling
/base/marchmadness/ncaa basketball tournament/seeds./base/marchmadness/ncaa tournament seed/team	team
/tv/tv program/original network./tv/tv network duration/network	network
/music/artist/contribution./music/recording contribution/performance role	performance role
/sports/sports position/players./sports/sports team roster/position	position
/film/film character/portrayed in films./film/performance/actor	actor
/business/job title/people with this title./business/employment tenure/person	person
/medicine/disease/parent disease	parent disease
/government/politician/government positions held./government/government position held/basic title	basic title
/people/family/country	country
/sports/sports team/roster./baseball/baseball historical roster position/player	player
/tv/special tv performance type/episode performances./tv/tv guest role/actor	actor
/education/educational institution/parent institution	parent institution
/basketball/basketball position/player roster position./sports/sports team roster/team	team
/music/genre/subgenre	subgenre
/government/governmental jurisdiction/governing officials./government/government position held/basic title	basic title
/sports/sports position/players./american football/football historical roster position/position s	position s
/book/school or movement/associated authors	associated authors
/people/profession/specialization of	specialization of
/award/award category/category of	category of
/base/bioventurist/bv medical condition/company involved	company involved
/base/popstra/company/product endorser./base/popstra/paid support/endorser	endorser
/film/film/cinematography	cinematography
/olympics/olympic participating country/olympics participated in	olympics participated in
/film/film/film production design by	film production design by
/organization/organization/companies acquired./business/acquisition/company acquired	company acquired
/tv/tv program/country of origin	country of origin
/people/person/parents	parents
/government/political appointer/appointees./government/government position held/office holder	office holder
/base/americancomedy/comedy genre/comedians in this genre	comedians in this genre
/language/human language/writing system	writing system
/film/film/edited by	edited by
/tv/tv personality/tv regular appearances./tv/tv regular personal appearance/program	program
/award/award discipline/awards in this discipline	awards in this discipline
/business/consumer company/products./business/company product relationship/consumer product	consumer product
/education/field of study/students majoring./education/education/major field of study	major field of study
/protected sites/listed site/designation as natural or cultural site./protected sites/natural or cultural site listing/designation	designation
/tv/tv actor/starring roles./tv/regular tv appearance/special performance type	special performance type
/language/language writing system/languages	languages
/military/military conflict/commanders./military/military command/military combatant	military combatant
/music/performance role/guest performances./music/recording contribution/contributor	contributor
/sports/sports team/roster./ice hockey/hockey roster position/position	position
/education/educational degree/people with this degree./education/education/student	student
/location/us county/county seat	county seat
/people/cause of death/parent cause of death	parent cause of death
/finance/currency/countries used	countries used
/film/film/film festivals	film festivals
/government/government office or title/office holders./government/government position held/office holder	office holder
/people/person/spouse s./people/marriage/spouse	spouse
/film/film/runtime./film/film cut/film release region	film release region
/location/capital of administrative division/capital of./location/administrative division capital relationship/administrative division	administrative division
/user/coco/science/concepts theories/parent concept	parent concept
/government/governmental jurisdiction/governing officials./government/government position held/governmental body	governmental body
/broadcast/artist/content	content
/basketball/basketball team/historical roster./sports/sports team roster/player	player
/olympics/olympic medal/medal winners./olympics/olympic medal honor/olympics	olympics
/military/military person/participated in conflicts	participated in conflicts
/base/aareas/schema/administrative area/administrative area type	administrative area type
/food/diet follower/follows diet	follows diet
/computer/computer/manufacturer	manufacturer
/influence/influence node/peers./influence/peer relationship/peers	peers
/government/governmental body/members./government/government position held/legislative sessions	legislative sessions
/olympics/olympic participating country/athletes./olympics/olympic athlete affiliation/athlete	athlete
/user/hangy/default domain/sports team gender/gender	gender
/fictional universe/fictional character/species	species
/base/schemastaging/organization extra/phone number./base/schemastaging/phone sandbox/service language	service language
/base/activism/activism issue/activists	activists
/organization/organization type/organizations of this type	organizations of this type
/organization/organization/place founded	place founded
/award/award/category	category
/baseball/baseball player/former teams./sports/sports team roster/team	team
/government/legislative session/members./government/government position held/jurisdiction of office	jurisdiction of office
/tv/tv program/regular cast./tv/regular tv appearance/special performance type	special performance type
/base/eating/practicer of diet/diet	diet
/tv/tv program/program creator	program creator
/people/deceased person/place of burial	place of burial
/fictional universe/fictional character/ethnicity	ethnicity
/government/political district/representatives./government/government position held/jurisdiction of office	jurisdiction of office
/olympics/olympic athlete/medals won./olympics/olympic medal honor/medal	medal
/people/family/members	members
/film/film/release date s./film/film regional release date/film regional debut venue	film regional debut venue
/ice hockey/hockey team/current roster./sports/sports team roster/position	position
/film/person or entity appearing in film/films./film/personal film appearance/type of appearance	type of appearance
/location/administrative division/first level division of	first level division of
/location/statistical region/gdp real./measurement unit/adjusted money value/adjustment currency	adjustment currency
/organization/organization/child./organization/organization relationship/child	child
/base/x2010fifaworldcupsouthafrica/world cup squad/current world cup squad./base/x2010fifaworldcupsouthafrica/current world cup squad/position	position
/business/business operation/assets./measurement unit/dated money value/currency	currency
/government/governmental body/members./government/government position held/district represented	district represented
/music/group member/vocal range	vocal range
/government/political appointer/appointees./government/government position held/governmental body	governmental body
/olympics/olympic games/athletes./olympics/olympic athlete affiliation/athlete	athlete
/geography/lake/cities	cities
/time/event/includes event	includes event
/time/event/instance of recurring event	instance of recurring event
/venture capital/venture funded company/venture investors./venture capital/venture investment/investor	investor
/military/military person/service./military/military service/military force	military force
/government/governmental jurisdiction/official symbols./location/location symbol relationship/symbol	symbol
/tv/non character role/tv regular personal appearances./tv/tv regular personal appearance/person	person
/base/americancomedy/impersonated celebrity/impersonated by	impersonated by
/sports/pro athlete/teams./ice hockey/hockey previous roster position/team	team
/government/legislative session/members./government/government position held/office position or title	office position or title
/government/government office category/officeholders./government/government position held/district represented	district represented
/business/business operation/operating income./measurement unit/dated money value/currency	currency
/soccer/football position/players	players
/people/ethnicity/languages spoken	languages spoken
/american football/football team/historical roster./american football/football historical roster position/player	player
/ice hockey/hockey team/current roster./ice hockey/hockey roster position/position	position
/base/localfood/seasonal month/produce available./base/localfood/produce availability/produce	produce
/base/americancomedy/celebrity impressionist/celebrities impersonated	celebrities impersonated
/military/rank/used by services./military/military service/military force	military force
/organization/organization/organization type	organization type
/medicine/symptom/symptom of	symptom of
/education/field of study/subdiscipline of	subdiscipline of
/education/university/fraternities and sororities	fraternities and sororities
/government/political appointer/appointees./government/government position held/office position or title	office position or title
/government/government office or title/office holders./government/government position held/legislative sessions	legislative sessions
/food/dietary restriction/compatible ingredients	compatible ingredients
/olympics/olympic athlete/country./olympics/olympic athlete affiliation/olympics	olympics
/location/statistical region/places exported to./location/imports and exports/exported to	exported to
/business/board member/organization board memberships./organization/organization board membership/organization	organization
/olympics/olympic athlete/medals won./olympics/olympic medal honor/medalist	medalist
/film/film production designer/films production designed	films production designed
/business/business operation/net profit./measurement unit/dated money value/currency	currency
/film/cinematographer/film	film
/military/military combatant/force deployments./military/force strength/combatant	combatant
/government/government office or title/office holders./government/government position held/appointed by	appointed by
/computer/programming language/influenced	influenced
/location/statistical region/gdp nominal./measurement unit/dated money value/currency	currency
/education/field of study/students majoring./education/education/specialization	specialization
/basketball/basketball position/player roster position./basketball/basketball roster position/player	player
/organization/organization scope/organizations with this scope	organizations with this scope
/sports/sports award winner/awards./sports/sports award/award	award
/cvg/gameplay mode/games with this mode	games with this mode
/travel/travel destination/how to get here./travel/transportation/mode of transportation	mode of transportation
/computer/programming language paradigm/languages	languages
/baseball/baseball player/position s	position s
/base/fashionmodels/fashion model/hair color	hair color
/military/armed force/personnel./military/military service/rank	rank
/business/business operation/current assets./measurement unit/dated money value/currency	currency
/music/album/genre	genre
/media common/media genre/parent genre	parent genre
/base/biblioness/bibs location/city	city
/sports/sports league season/awards./sports/sports award/award winner	award winner
/baseball/baseball team/current roster./sports/sports team roster/position	position
/government/governmental jurisdiction/governing officials./government/government position held/office holder	office holder
/location/neighborhood/neighborhood of	neighborhood of
/business/brand/owner s./business/company brand relationship/company	company
/film/film/starring./film/performance/special performance type	special performance type
/people/person/education./education/education/degree	degree
/user/mt/default domain/metabolite/associated disorder	associated disorder
/olympics/olympic athlete/country./olympics/olympic athlete affiliation/country	country
/location/country/official language	official language
/user/coco/science/concepts theories/child concept	child concept
/film/film/runtime./film/film cut/type of film cut	type of film cut
/location/location/partially contains	partially contains
/base/thoroughbredracing/thoroughbred racehorse origin/horses from this location	horses from this location
/tv/tv series season/regular cast./tv/regular tv appearance/series	series
/medicine/disease/treatments	treatments
/computer/programming language/influenced by	influenced by
/base/fight/crime type/people convicted of this crime./base/crime/criminal conviction/convicted person	convicted person
/base/popstra/celebrity/supporter./base/popstra/support/supported organization	supported organization
/base/popstra/celebrity/religion./base/popstra/religion choice/religion	religion
/media common/media genre/child genres	child genres
/film/film job/films with this crew job./film/film crew gig/crewmember	crewmember
/american football/football player/former teams./sports/sports team roster/position	position
/time/recurring event/instances	instances
/base/thoroughbredracing/thoroughbred racehorse/sex	sex
/film/film/film art direction by	film art direction by
/medicine/disease/medical specialties	medical specialties
/people/person/spouse s./people/marriage/location of ceremony	location of ceremony
/education/university/international tuition./measurement unit/dated money value/currency	currency
/film/person or entity appearing in film/films./film/personal film appearance/film	film
/american football/football player/former teams./american football/football historical roster position/team	team
/tv/tv series season/series	series
